"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep5","2",0.664999999999999,0.630688704415625,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep6","2",0.205,0.867538687152068,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep1","1",2.455,0.182377543030022,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep2","1",2.63,0.161544103829686,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep3","1",2.765,0.147113342152346,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep4","2",2.985,0.126306430810846,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep5","2",2.995,0.125433968563688,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep6","2",2.785,0.145087989297965,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep1","1",0.125,0.917004043204671,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep2","1",0.59,0.664342907048256,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep3","1",0.735000000000001,0.600818024763425,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep4","2",0.264999999999999,0.832198734711525,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep5","2",0.344999999999999,0.787307976569204,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep6","2",0.254999999999999,0.837987134667949,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep1","1",-0.275,1.20999408921929,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep2","1",0.205,0.867538687152068,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep3","1",-0.0600000000000005,1.04246576084112,FALSE,FALSE
