"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep3","1",-1.085,2.12137548273644,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep4","2",-1.31,2.47941539987797,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep5","2",-1.355,2.55797116255486,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep6","2",-1.025,2.03495938420537,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep1","1",0.00500000000000078,0.996540262827867,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep2","1",-0.26,1.19747870461893,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep3","1",-0.175000000000001,1.12896440480613,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep4","2",-0.370000000000001,1.29235283063749,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep5","2",-0.404999999999999,1.3240889103954,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","BioRep6","2",-0.114999999999998,1.08297504552592,FALSE,FALSE
