"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"I5","Sample 197",11.35,NA,0,NA,"I5",11.35,"1","I","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.385,-2.035,4.09822729213121
TRUE,255,"J5","Sample 221",13.43,NA,0,NA,"J5",13.43,"1","J","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.385,0.0449999999999999,0.969289816935065
TRUE,255,"K5","Sample 245",13.18,NA,0,NA,"K5",13.18,"1","K","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.385,-0.205,1.15268634679886
TRUE,255,"L5","Sample 269",13.5,NA,0,NA,"L5",13.5,"1","L","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.385,0.115,0.923382310729395
TRUE,255,"A6","Sample 6",11.75,NA,0,NA,"A6",11.75,"1","A","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.65,-1.9,3.73213196614723
TRUE,255,"B6","Sample 30",14.38,NA,0,NA,"B6",14.38,"1","B","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.65,0.73,0.60290391384538
TRUE,255,"C6","Sample 54",13.85,NA,0,NA,"C6",13.85,"1","C","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.65,0.199999999999999,0.870550563296125
TRUE,255,"D6","Sample 78",13.73,NA,0,NA,"D6",13.73,"1","D","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.65,0.0800000000000001,0.946057646725596
TRUE,255,"E6","Sample 102",11.64,NA,0,NA,"E6",11.64,"1","E","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.65,-2.01,4.02782220022687
TRUE,255,"F6","Sample 126",13.54,NA,0,NA,"F6",13.54,"1","F","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.65,-0.110000000000001,1.07922823650443
