,experiment,strain,max gr,time of max gr
34,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tPAB1,0.399065249237558,2.4077354629629633
35,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tPGK1,0.3966500352947238,3.0387676851851855
36,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tPMA1_long,0.40556833587040503,2.511493888888889
37,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tRPS13,0.3951199438975749,3.159465925925926
38,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tRPS3,0.4068073164820883,3.0197099999999995
39,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tSRO9_long,0.39432510717113856,2.6618399074074075
40,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tSUN4,0.4041471460261967,2.7910118518518523
41,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tTOS6,0.41592859211788147,2.6364280555555557
42,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tCLN2,0.4065810258735932,2.483966018518519
43,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tHSP26,0.39620586128362556,2.543256574074074
44,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tPAB1,0.40545389815674343,2.3547964814814817
45,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tPGK1,0.40882203840886866,2.3547972222222224
46,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tPMA1_long,0.41818542367852585,2.6935992592592597
47,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tRPS13,0.42288809903392716,2.6597227777777777
48,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tRPS3,0.4197558092153601,2.589841388888889
49,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tSRO9_long,0.4145599962853136,2.6914843518518516
50,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tSUN4,0.40188518593187,2.831244351851851
51,20201122-Pro-ter_mTurq2-collection_n2,pRPS3-mTurq-tTOS6,0.40524078592355933,2.5241986111111117
52,20201122-Pro-ter_mTurq2-collection_n2,pSRO9-mTurq-tCLN2,0.39858371285041616,2.5940776851851854
