"strain","promoter","mCherry","UTR3","target_id","bio_rep","deltacq","rel_abund_deltacq","na.rm"
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","RPS3-ORF","bio_rep1",0.684444444444445,0.622245395875941,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","RPS3-ORF","bio_rep2",0.468888888888889,0.722520842739555,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","RPS3-ORF","bio_rep3",0.241111111111111,0.846093431060223,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","URA3-ORF","bio_rep1",-0.195555555555556,1.14516505788646,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","URA3-ORF","bio_rep2",-0.221111111111112,1.16563096732418,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","URA3-ORF","bio_rep3",0.0411111111111122,0.971906132432675,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","mCh-7","bio_rep1",-0.459999999999999,1.37554181813974,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","mCh-7","bio_rep2",0.0500000000000007,0.965936328924845,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","mCh-7","bio_rep3",-0.125555555555556,1.09092774817482,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","PGK1-ORF","bio_rep1",-0.539999999999999,1.45397251732031,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","PGK1-ORF","bio_rep2",-0.31,1.23970769993899,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","PGK1-ORF","bio_rep3",-0.285555555555554,1.21887954160182,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","RPS3-ORF","bio_rep1",0.74,0.598739352309464,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","RPS3-ORF","bio_rep2",0.35,0.784584097896751,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","RPS3-ORF","bio_rep3",0.094444444444445,0.936632858233772,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","URA3-ORF","bio_rep1",-0.18,1.1328838852958,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","URA3-ORF","bio_rep2",-0.130000000000001,1.09429370126074,FALSE
"pPGK1-mCherry-tSRO9","pPGK1","mCherry","tSRO9","URA3-ORF","bio_rep3",0.174444444444445,0.886108677706511,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","mCh-7","bio_rep1",-0.197777777777778,1.14693034583372,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","mCh-7","bio_rep2",-0.0900000000000016,1.06437018245336,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","mCh-7","bio_rep3",-0.276666666666666,1.21139273694007,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","PGK1-ORF","bio_rep1",-0.657777777777778,1.57765065318776,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","PGK1-ORF","bio_rep2",-0.33,1.25701337452183,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","PGK1-ORF","bio_rep3",-0.086666666666666,1.06191380396236,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","RPS3-ORF","bio_rep1",0.932222222222222,0.524050510622668,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","RPS3-ORF","bio_rep2",0.619999999999999,0.650670927720967,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","RPS3-ORF","bio_rep3",0.323333333333334,0.799221149722626,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","URA3-ORF","bio_rep1",-0.277777777777779,1.21232606681355,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","URA3-ORF","bio_rep2",-0.300000000000001,1.23114441334492,FALSE
"pPGK1-mCherry-tSUN4","pPGK1","mCherry","tSUN4","URA3-ORF","bio_rep3",-0.156666666666666,1.11470863658892,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","mCh-7","bio_rep1",-0.693333333333333,1.61701530431972,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","mCh-7","bio_rep2",-0.235555555555557,1.17736002981646,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","mCh-7","bio_rep3",-0.135555555555555,1.09851575073552,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","PGK1-ORF","bio_rep1",-0.473333333333333,1.38831345047979,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","PGK1-ORF","bio_rep2",-0.115555555555556,1.08339215977644,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","PGK1-ORF","bio_rep3",-0.195555555555554,1.14516505788645,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","RPS3-ORF","bio_rep1",0.596666666666666,0.66128007306127,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","RPS3-ORF","bio_rep2",0.204444444444444,0.86787282481367,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","RPS3-ORF","bio_rep3",0.214444444444444,0.861877989316197,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","URA3-ORF","bio_rep1",-0.353333333333333,1.27750889232791,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","URA3-ORF","bio_rep2",-0.225555555555555,1.16922741003825,FALSE
"pPGK1-mCherry-tTOS6","pPGK1","mCherry","tTOS6","URA3-ORF","bio_rep3",0.0144444444444449,0.990037828535667,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","mCh-7","bio_rep1",-0.404444444444445,1.32357912605877,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","mCh-7","bio_rep2",-0.498888888888889,1.41312480597219,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","mCh-7","bio_rep3",-0.526666666666667,1.44059686183175,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","PGK1-ORF","bio_rep1",-0.404444444444445,1.32357912605877,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","PGK1-ORF","bio_rep2",-0.438888888888888,1.35555992249759,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","PGK1-ORF","bio_rep3",-0.516666666666667,1.43064593243526,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","RPS3-ORF","bio_rep1",0.565555555555555,0.675695168519468,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","RPS3-ORF","bio_rep2",0.79111111111111,0.577898843901858,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","RPS3-ORF","bio_rep3",0.553333333333333,0.681443838492414,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","URA3-ORF","bio_rep1",-0.0844444444444452,1.06027936849208,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","URA3-ORF","bio_rep2",-0.308888888888889,1.23875328984883,FALSE
"pRPS3-mCherry-tCLN2","pRPS3","mCherry","tCLN2","URA3-ORF","bio_rep3",-0.0266666666666673,1.01865580995729,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","mCh-7","bio_rep1",0.524444444444443,0.695226777536846,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","mCh-7","bio_rep2",0.377777777777778,0.769622147933496,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","mCh-7","bio_rep3",-0.173333333333334,1.1276609270458,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","PGK1-ORF","bio_rep1",-0.855555555555556,1.80945540926543,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","PGK1-ORF","bio_rep2",-0.732222222222221,1.66119590697803,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","PGK1-ORF","bio_rep3",-0.453333333333333,1.36920012895119,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","RPS3-ORF","bio_rep1",0.654444444444444,0.635320094354809,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","RPS3-ORF","bio_rep2",0.637777777777778,0.642702158263776,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","RPS3-ORF","bio_rep3",0.416666666666666,0.749153538438341,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","URA3-ORF","bio_rep1",0.0244444444444429,0.983199137717551,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","URA3-ORF","bio_rep2",-0.0222222222222221,1.01552251250427,FALSE
"pRPS3-mCherry-tHSP26","pRPS3","mCherry","tHSP26","URA3-ORF","bio_rep3",-0.0133333333333336,1.00928480121187,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","mCh-7","bio_rep1",0.237777777777779,0.848050582099864,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","mCh-7","bio_rep2",-0.157777777777778,1.11556747521245,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","mCh-7","bio_rep3",-0.34,1.26575659397028,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","PGK1-ORF","bio_rep1",-0.392222222222221,1.312413393611,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","PGK1-ORF","bio_rep2",-0.427777777777777,1.34515999392839,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","PGK1-ORF","bio_rep3",-0.219999999999999,1.16473358646845,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","RPS3-ORF","bio_rep1",0.637777777777778,0.642702158263776,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","RPS3-ORF","bio_rep2",0.792222222222222,0.577453938632868,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","RPS3-ORF","bio_rep3",0.220000000000001,0.858565436437753,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","URA3-ORF","bio_rep1",-0.232222222222221,1.1746428907035,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","URA3-ORF","bio_rep2",-0.357777777777779,1.28145052366474,FALSE
"pRPS3-mCherry-tPAB1","pRPS3","mCherry","tPAB1","URA3-ORF","bio_rep3",-0.0999999999999996,1.07177346253629,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","mCh-7","bio_rep1",0.4,0.757858283255199,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","mCh-7","bio_rep2",-0.00666666666666593,1.00463167440205,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","mCh-7","bio_rep3",-0.0277777777777786,1.01944064370215,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","PGK1-ORF","bio_rep1",-0.459999999999999,1.37554181813974,FALSE
"pRPS3-mCherry-tPGK1","pRPS3","mCherry","tPGK1","PGK1-ORF","bio_rep2",-0.566666666666666,1.48109755228656,FALSE
