"strain","Pro_mCh","Promoter","mCherry","UTR3","Terminator","Length","target_id","BioRep","ExpRep","median_deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep5","2",2.58666666666667,0.16646990992774,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep6","2",3.03333333333333,0.122144996054281,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep1","1",0.725,0.604997044609646,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep2","1",0.683333333333334,0.622724811179411,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep3","1",0.451666666666666,0.731197647213713,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep4","2",-0.0833333333333339,1.0594630943593,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep5","2",0.536666666666667,0.689361834492889,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","URA3-ORF","BioRep6","2",0.353333333333333,0.7827734162991,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep1","1",-1.45833333333333,2.74790729491618,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep2","1",-1.05,2.07052984768276,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep3","1",-1.03666666666667,2.05148224286803,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep4","2",-1.00333333333333,2.00462632368435,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep5","2",-0.666666666666666,1.5874010519682,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep6","2",-1.165,2.24233215605702,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep1","1",-0.638333333333334,1.55652994634865,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep2","1",-0.370000000000001,1.29235283063749,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep3","1",-0.396666666666667,1.31646271944363,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep4","2",-0.273333333333333,1.20859705634677,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep5","2",-0.596666666666666,1.51221856023982,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep6","2",-0.355,1.27898558127743,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep1","1",0.261666666666667,0.834123745069764,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep2","1",0.539999999999999,0.687770909069872,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep3","1",0.533333333333333,0.690956439983888,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep4","2",0.386666666666667,0.764894846761996,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep5","2",0.663333333333334,0.63141772559582,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","RPS3-ORF","BioRep6","2",0.295,0.815072332402625,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep1","1",2.55166666666667,0.170557882046121,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep2","1",2.87,0.136786712657593,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep3","1",2.78333333333333,0.14525569836973,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep4","2",3.28666666666667,0.102474249798784,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","SRO9-ORF","BioRep5","2",3.05333333333333,0.120463389798944,FALSE,FALSE
