"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep5","2",-1.34555555555556,2.54128037741924,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep6","2",-1.06333333333333,2.08975430572174,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep1","1",-0.207777777777778,1.15490787726574,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep2","1",-0.086666666666666,1.06191380396236,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep3","1",-0.318888888888889,1.2473695003643,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep4","2",-0.186666666666667,1.13813103458782,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep5","2",-0.165555555555557,1.1215979017813,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep6","2",-0.193333333333333,1.14340248696691,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep1","1",-0.687777777777779,1.61080044703458,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep2","1",0.423333333333334,0.745699700225188,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep3","1",-0.34888888888889,1.27357938510927,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep4","2",-0.126666666666667,1.09176826457064,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep5","2",-0.0355555555555558,1.02495143715906,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","bio_rep6","2",-0.0833333333333321,1.05946309435929,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep1","1",0.432222222222222,0.741119339491123,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep2","1",-0.286666666666667,1.2198186397602,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep3","1",0.48111111111111,0.716425646570972,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep4","2",0.163333333333334,0.892959511060382,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep5","2",-0.135555555555555,1.09851575073552,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","bio_rep6","2",0.236666666666666,0.848703971309123,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep1","1",1.46888888888889,0.361260421369777,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep2","1",1.26333333333333,0.416580341962957,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep3","1",1.68888888888889,0.31016571134103,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep4","2",0.452222222222224,0.730916130538661,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep5","2",0.592222222222222,0.663320389394134,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","bio_rep6","2",0.530000000000001,0.692554734055462,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep1","1",-0.30111111111111,1.23209296109867,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep2","1",-0.506666666666666,1.42076373912898,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep3","1",-0.151111111111112,1.11042435116972,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep4","2",-0.117777777777777,1.08506222393762,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep5","2",0.0222222222222221,0.984714752934431,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modB","tRPS3","modB","bio_rep6","2",-0.00999999999999979,1.00695555005672,FALSE,FALSE
