exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep1,pRPS3-mCherry-tRPS3_modE,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,0.8655555555555559,tRPS3_modE,tRPS3,modE,-0.5648148148148143,1.4303703703703703,0.37103562772609855,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep2,pRPS3-mCherry-tRPS3_modE,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,0.34111111111111114,tRPS3_modE,tRPS3,modE,-0.5648148148148143,0.9059259259259255,0.5336900702252286,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modE_bio_rep3,pRPS3-mCherry-tRPS3_modE,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,1.2800000000000011,tRPS3_modE,tRPS3,modE,-0.5648148148148143,1.8448148148148156,0.278391136714101,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep1,pRPS3-mCherry-tRPS3_WT,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,-1.1711111111111112,tRPS3_WT,tRPS3,WT,-0.5648148148148143,-0.6062962962962969,1.5223460035029728,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep2,pRPS3-mCherry-tRPS3_WT,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,-1.0055555555555546,tRPS3_WT,tRPS3,WT,-0.5648148148148143,-0.4407407407407403,1.357301044416371,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_WT_bio_rep3,pRPS3-mCherry-tRPS3_WT,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,-1.2088888888888878,tRPS3_WT,tRPS3,WT,-0.5648148148148143,-0.6440740740740735,1.562735995769946,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep4,pRPS3-mCherry-tRPS3_mod0,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,-1.144444444444444,tRPS3_mod0,tRPS3,mod0,-1.3892592592592585,0.2448148148148146,0.8439241157744485,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep5,pRPS3-mCherry-tRPS3_mod0,bio_rep5,pRPS3-mCherry,pRPS3,mCherry,-1.5222222222222204,tRPS3_mod0,tRPS3,mod0,-1.3892592592592585,-0.13296296296296184,1.0965434376342453,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep6,pRPS3-mCherry-tRPS3_mod0,bio_rep6,pRPS3-mCherry,pRPS3,mCherry,-1.5011111111111113,tRPS3_mod0,tRPS3,mod0,-1.3892592592592585,-0.11185185185185276,1.0806144296979237,FALSE
2,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep4,pRPS3-mCherry-tRPS3_modA,bio_rep4,pRPS3-mCherry,pRPS3,mCherry,-1.0466666666666669,tRPS3_modA,tRPS3,modA,-1.3892592592592585,0.34259259259259167,0.7886228444186559,FALSE
