"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep5","2",0.244999999999999,0.843815796130018,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep6","2",0.228333333333333,0.85362046339897,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep1","1",0.609999999999999,0.655196701929182,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep2","1",0.728333333333332,0.603600818229015,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep3","1",0.57,0.673616788432845,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep4","2",0.525,0.694959109921168,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep5","2",0.604999999999999,0.657471380102536,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep6","2",0.498333333333333,0.707924135003947,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep1","1",0.68,0.624165274450806,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep2","1",0.708333333333332,0.612026771652328,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modC","tPIR1","modC","bio_rep3","1",0.67,0.628506687260914,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep4","2",3.69333333333333,0.0773029170880898,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep5","2",3.11666666666667,0.115289524198243,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep6","2",3.51,0.0877778047336248,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep1","1",3.39833333333333,0.0948417876732738,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep2","1",3.1,0.116629123942101,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modD","tPIR1","modD","bio_rep3","1",2.79666666666667,0.143919435024998,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep4","2",-0.546666666666667,1.46070684461007,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep5","2",-0.453333333333333,1.36920012895119,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep6","2",-0.550000000000001,1.46408569594563,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep1","1",-0.811666666666667,1.75523800227408,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep2","1",-0.65,1.5691681957935,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modD","tPIR1","modD","bio_rep3","1",-0.703333333333333,1.6282625352114,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep4","2",-0.176666666666666,1.13026938927316,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep5","2",-0.0833333333333339,1.0594630943593,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modD","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modD","tPIR1","modD","bio_rep6","2",0.0299999999999994,0.979420297586927,FALSE,FALSE
