exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep4,pSRO9-mCherry-tTSA1_modA,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,5.491666666666665,tTSA1_modA,tTSA1,modA,4.567222222222222,0.9244444444444433,0.5268833720971186,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep5,pSRO9-mCherry-tTSA1_modA,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,5.473333333333333,tTSA1_modA,tTSA1,modA,4.567222222222222,0.9061111111111106,0.5336215698499434,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep6,pSRO9-mCherry-tTSA1_modA,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,5.574999999999999,tTSA1_modA,tTSA1,modA,4.567222222222222,1.0077777777777772,0.49731168070158055,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep4,pSRO9-mCherry-tTSA1_modB,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,4.635000000000002,tTSA1_modB,tTSA1,modB,4.567222222222222,0.06777777777777949,0.9541065028367359,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep5,pSRO9-mCherry-tTSA1_modB,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,4.524999999999999,tTSA1_modB,tTSA1,modB,4.567222222222222,-0.04222222222222349,1.0296986784938988,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep6,pSRO9-mCherry-tTSA1_modB,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,4.626666666666667,tTSA1_modB,tTSA1,modB,4.567222222222222,0.059444444444444855,0.9596335855801258,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep4,pSRO9-mCherry-tTSA1_modC,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,4.139999999999999,tTSA1_modC,tTSA1,modC,4.567222222222222,-0.4272222222222233,1.3446420970637825,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep5,pSRO9-mCherry-tTSA1_modC,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,4.186666666666667,tTSA1_modC,tTSA1,modC,4.567222222222222,-0.38055555555555465,1.301843074962124,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep6,pSRO9-mCherry-tTSA1_modC,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,4.253333333333332,tTSA1_modC,tTSA1,modC,4.567222222222222,-0.31388888888889,1.2430539297365049,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep4,pSRO9-mCherry-tTSA1_modD,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,4.298333333333332,tTSA1_modD,tTSA1,modD,4.567222222222222,-0.26888888888889007,1.2048795159947099,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep5,pSRO9-mCherry-tTSA1_modD,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,4.606666666666666,tTSA1_modD,tTSA1,modD,4.567222222222222,0.039444444444443505,0.9730295712238657,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep6,pSRO9-mCherry-tTSA1_modD,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,4.345000000000001,tTSA1_modD,tTSA1,modD,4.567222222222222,-0.22222222222222143,1.1665290395761159,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep4,pSRO9-mCherry-tTSA1_modE,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,5.161666666666665,tTSA1_modE,tTSA1,modE,4.567222222222222,0.5944444444444432,0.6622994455392391,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep5,pSRO9-mCherry-tTSA1_modE,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,5.348333333333333,tTSA1_modE,tTSA1,modE,4.567222222222222,0.7811111111111106,0.5819184482383372,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep6,pSRO9-mCherry-tTSA1_modE,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,5.116666666666667,tTSA1_modE,tTSA1,modE,4.567222222222222,0.5494444444444451,0.6832831976234486,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep4,pSRO9-mCherry-tTSA1_WT,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,5.055,tTSA1_WT,tTSA1,WT,4.567222222222222,0.48777777777777764,0.7131226944416027,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep5,pSRO9-mCherry-tTSA1_WT,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,4.4783333333333335,tTSA1_WT,tTSA1,WT,4.567222222222222,-0.08888888888888857,1.0635507589377633,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep6,pSRO9-mCherry-tTSA1_WT,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,3.9049999999999994,tTSA1_WT,tTSA1,WT,4.567222222222222,-0.6622222222222227,1.5825183431823369,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep1,pSRO9-mCherry-tTSA1_mod0,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.295,tTSA1_mod0,tTSA1,mod0,4.1816666666666675,0.1133333333333324,0.9244496602113609,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep2,pSRO9-mCherry-tTSA1_mod0,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.106666666666667,tTSA1_mod0,tTSA1,mod0,4.1816666666666675,-0.07500000000000018,1.053361035954836,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep3,pSRO9-mCherry-tTSA1_mod0,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.143333333333334,tTSA1_mod0,tTSA1,mod0,4.1816666666666675,-0.03833333333333311,1.0269267887809785,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep1,pSRO9-mCherry-tTSA1_modA,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,5.171666666666667,tTSA1_modA,tTSA1,modA,4.1816666666666675,0.9899999999999993,0.5034777750283597,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep2,pSRO9-mCherry-tTSA1_modA,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.576666666666666,tTSA1_modA,tTSA1,modA,4.1816666666666675,0.3949999999999987,0.7604893766205053,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modA_bio_rep3,pSRO9-mCherry-tTSA1_modA,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.740000000000002,tTSA1_modA,tTSA1,modA,4.1816666666666675,0.5583333333333345,0.6790862219136602,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep1,pSRO9-mCherry-tTSA1_modB,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.071666666666667,tTSA1_modB,tTSA1,modB,4.1816666666666675,-0.11000000000000032,1.0792282365044275,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep2,pSRO9-mCherry-tTSA1_modB,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.106666666666666,tTSA1_modB,tTSA1,modB,4.1816666666666675,-0.07500000000000195,1.0533610359548373,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modB_bio_rep3,pSRO9-mCherry-tTSA1_modB,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,3.7266666666666683,tTSA1_modB,tTSA1,modB,4.1816666666666675,-0.4549999999999992,1.3707828049797026,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep1,pSRO9-mCherry-tTSA1_modC,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.096666666666666,tTSA1_modC,tTSA1,modC,4.1816666666666675,-0.08500000000000174,1.060687741368218,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep2,pSRO9-mCherry-tTSA1_modC,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.406666666666668,tTSA1_modC,tTSA1,modC,4.1816666666666675,0.22500000000000053,0.8555950256826019,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modC_bio_rep3,pSRO9-mCherry-tTSA1_modC,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.25,tTSA1_modC,tTSA1,modC,4.1816666666666675,0.06833333333333247,0.9537391645509178,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep1,pSRO9-mCherry-tTSA1_modD,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.611666666666666,tTSA1_modD,tTSA1,modD,4.1816666666666675,0.4299999999999988,0.7422617853145251,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep2,pSRO9-mCherry-tTSA1_modD,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.77,tTSA1_modD,tTSA1,modD,4.1816666666666675,0.588333333333332,0.66511082955386,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modD_bio_rep3,pSRO9-mCherry-tTSA1_modD,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,4.786666666666667,tTSA1_modD,tTSA1,modD,4.1816666666666675,0.6049999999999995,0.6574713801025356,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep1,pSRO9-mCherry-tTSA1_modE,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,5.688333333333334,tTSA1_modE,tTSA1,modE,4.1816666666666675,1.5066666666666668,0.3519233960084973,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep2,pSRO9-mCherry-tTSA1_modE,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,5.721666666666668,tTSA1_modE,tTSA1,modE,4.1816666666666675,1.54,0.3438854545349359,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_modE_bio_rep3,pSRO9-mCherry-tTSA1_modE,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,5.368333333333332,tTSA1_modE,tTSA1,modE,4.1816666666666675,1.1866666666666648,0.43931672611060746,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep1,pSRO9-mCherry-tTSA1_WT,bio_rep1,pSRO9-mCherry,pSRO9,mCherry,4.205,tTSA1_WT,tTSA1,WT,4.1816666666666675,0.02333333333333254,0.9839566535081127,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep2,pSRO9-mCherry-tTSA1_WT,bio_rep2,pSRO9-mCherry,pSRO9,mCherry,4.105,tTSA1_WT,tTSA1,WT,4.1816666666666675,-0.0766666666666671,1.0545786295160133,FALSE
1,mCh-7,pSRO9-mCherry-tTSA1_WT_bio_rep3,pSRO9-mCherry-tTSA1_WT,bio_rep3,pSRO9-mCherry,pSRO9,mCherry,3.908333333333333,tTSA1_WT,tTSA1,WT,4.1816666666666675,-0.2733333333333343,1.2085970563467687,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_mod0_bio_rep4,pTSA1-mCherry-tTSA1_mod0,bio_rep4,pTSA1-mCherry,pTSA1,mCherry,-0.21499999999999986,tTSA1_mod0,tTSA1,mod0,-0.35722222222222183,0.14222222222222197,0.9061223550383888,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_mod0_bio_rep5,pTSA1-mCherry-tTSA1_mod0,bio_rep5,pTSA1-mCherry,pTSA1,mCherry,-0.4399999999999995,tTSA1_mod0,tTSA1,mod0,-0.35722222222222183,-0.08277777777777767,1.0590551929816039,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_mod0_bio_rep6,pTSA1-mCherry-tTSA1_mod0,bio_rep6,pTSA1-mCherry,pTSA1,mCherry,-0.4166666666666661,tTSA1_mod0,tTSA1,mod0,-0.35722222222222183,-0.059444444444444244,1.0420644035665667,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modA_bio_rep4,pTSA1-mCherry-tTSA1_modA,bio_rep4,pTSA1-mCherry,pTSA1,mCherry,0.46499999999999986,tTSA1_modA,tTSA1,modA,-0.35722222222222183,0.8222222222222217,0.5655701084185466,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modA_bio_rep5,pTSA1-mCherry-tTSA1_modA,bio_rep5,pTSA1-mCherry,pTSA1,mCherry,0.7766666666666655,tTSA1_modA,tTSA1,modA,-0.35722222222222183,1.1338888888888874,0.45568573422069575,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modA_bio_rep6,pTSA1-mCherry-tTSA1_modA,bio_rep6,pTSA1-mCherry,pTSA1,mCherry,1.1816666666666684,tTSA1_modA,tTSA1,modA,-0.35722222222222183,1.5388888888888903,0.3441504045862137,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modB_bio_rep4,pTSA1-mCherry-tTSA1_modB,bio_rep4,pTSA1-mCherry,pTSA1,mCherry,-0.15666666666666806,tTSA1_modB,tTSA1,modB,-0.35722222222222183,0.20055555555555377,0.87021539468477,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modB_bio_rep5,pTSA1-mCherry-tTSA1_modB,bio_rep5,pTSA1-mCherry,pTSA1,mCherry,-0.21499999999999986,tTSA1_modB,tTSA1,modB,-0.35722222222222183,0.14222222222222197,0.9061223550383888,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modB_bio_rep6,pTSA1-mCherry-tTSA1_modB,bio_rep6,pTSA1-mCherry,pTSA1,mCherry,0.10500000000000043,tTSA1_modB,tTSA1,modB,-0.35722222222222183,0.46222222222222226,0.725867324031822,FALSE
2,mCh-7,pTSA1-mCherry-tTSA1_modC_bio_rep4,pTSA1-mCherry-tTSA1_modC,bio_rep4,pTSA1-mCherry,pTSA1,mCherry,-0.31833333333333336,tTSA1_modC,tTSA1,modC,-0.35722222222222183,0.03888888888888847,0.9734043393240237,FALSE
