"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"E10","Sample 106",12.15,NA,0,NA,"E10",12.15,"1","E","10","pRPS3-mCherry-tRPS3_modB_BioRep1","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep1",FALSE,"+RT","2","mCh-7",10.72,1.43,0.371130892657262,2.295
TRUE,255,"I10","Sample 202",11.7,NA,0,NA,"I10",11.7,"1","I","10","pRPS3-mCherry-tRPS3_modB_BioRep1","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep1",FALSE,"+RT","3","mCh-7",10.72,0.979999999999999,0.506979739895015,1.845
TRUE,255,"A11","Sample 11",11.91,NA,0,NA,"A11",11.91,"1","A","11","pRPS3-mCherry-tRPS3_modB_BioRep2","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep2",FALSE,"+RT","1","mCh-7",10.45,1.46,0.363493129330077,2.325
TRUE,255,"E11","Sample 107",12.22,NA,0,NA,"E11",12.22,"1","E","11","pRPS3-mCherry-tRPS3_modB_BioRep2","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep2",FALSE,"+RT","2","mCh-7",10.45,1.77,0.293208737307969,2.635
TRUE,255,"I11","Sample 203",11.69,NA,0,NA,"I11",11.69,"1","I","11","pRPS3-mCherry-tRPS3_modB_BioRep2","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep2",FALSE,"+RT","3","mCh-7",10.45,1.24,0.423372656181264,2.105
TRUE,255,"A12","Sample 12",12.36,NA,0,NA,"A12",12.36,"1","A","12","pRPS3-mCherry-tRPS3_modB_BioRep3","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep3",FALSE,"+RT","1","mCh-7",10.65,1.71,0.305660069423017,2.575
TRUE,255,"E12","Sample 108",12.41,NA,0,NA,"E12",12.41,"1","E","12","pRPS3-mCherry-tRPS3_modB_BioRep3","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep3",FALSE,"+RT","2","mCh-7",10.65,1.76,0.295248165357383,2.625
TRUE,255,"I12","Sample 204",11.5,NA,0,NA,"I12",11.5,"1","I","12","pRPS3-mCherry-tRPS3_modB_BioRep3","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep3",FALSE,"+RT","3","mCh-7",10.65,0.85,0.554784736033923,1.715
TRUE,255,"A10","Sample 10",15.13,NA,0,NA,"A10",15.13,"2","A","10","pRPS3-mCherry-tRPS3_modB_BioRep4","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep4",FALSE,"+RT","1","mCh-7",14.4,0.73,0.60290391384538,1.595
TRUE,255,"E10","Sample 106",14.96,NA,0,NA,"E10",14.96,"2","E","10","pRPS3-mCherry-tRPS3_modB_BioRep4","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep4",FALSE,"+RT","2","mCh-7",14.4,0.56,0.678302163723836,1.425
