Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,I10,Sample 202,9.87,NA,0,NA,I10,9.87,I,10,pPGK1-mCherry-tTSA1_modB_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,3,mCh-7,10.63,-0.7600000000000016,1.693490624725056
TRUE,255,A11,Sample 11,8.93,NA,0,NA,A11,8.93,A,11,pPGK1-mCherry-tTSA1_modB_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,1,mCh-7,9.63,-0.7000000000000011,1.6245047927124723
TRUE,255,E11,Sample 107,8.75,NA,0,NA,E11,8.75,E,11,pPGK1-mCherry-tTSA1_modB_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,2,mCh-7,9.63,-0.8800000000000008,1.8403753012497512
TRUE,255,I11,Sample 203,8.94,NA,0,NA,I11,8.94,I,11,pPGK1-mCherry-tTSA1_modB_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,3,mCh-7,9.63,-0.6900000000000013,1.613283518444254
TRUE,255,A12,Sample 12,9.46,NA,0,NA,A12,9.46,A,12,pPGK1-mCherry-tTSA1_modB_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,1,mCh-7,9.72,-0.2599999999999998,1.1974787046189286
TRUE,255,E12,Sample 108,8.79,NA,0,NA,E12,8.79,E,12,pPGK1-mCherry-tTSA1_modB_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,2,mCh-7,9.72,-0.9300000000000015,1.9052759960878767
TRUE,255,I12,Sample 204,8.99,NA,0,NA,I12,8.99,I,12,pPGK1-mCherry-tTSA1_modB_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,3,mCh-7,9.72,-0.7300000000000004,1.6586390916288838
TRUE,255,A10,Sample 10,10.52,NA,0,NA,A10,10.52,A,10,pPGK1-mCherry-tTSA1_modB_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,1,mCh-7,10.85,-0.33000000000000007,1.2570133745218284
TRUE,255,E10,Sample 106,10.4,NA,0,NA,E10,10.4,E,10,pPGK1-mCherry-tTSA1_modB_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,2,mCh-7,10.85,-0.4499999999999993,1.3660402567543948
TRUE,255,I10,Sample 202,10.61,NA,0,NA,I10,10.61,I,10,pPGK1-mCherry-tTSA1_modB_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,3,mCh-7,10.85,-0.2400000000000002,1.1809926614295305
TRUE,255,A11,Sample 11,10.82,NA,0,NA,A11,10.82,A,11,pPGK1-mCherry-tTSA1_modB_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,1,mCh-7,10.71,0.10999999999999943,0.9265880618903712
TRUE,255,E11,Sample 107,10.65,NA,0,NA,E11,10.65,E,11,pPGK1-mCherry-tTSA1_modB_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,2,mCh-7,10.71,-0.0600000000000005,1.0424657608411219
TRUE,255,I11,Sample 203,10.67,NA,0,NA,I11,10.67,I,11,pPGK1-mCherry-tTSA1_modB_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,3,mCh-7,10.71,-0.040000000000000924,1.0281138266560672
TRUE,255,A12,Sample 12,9.9,NA,0,NA,A12,9.9,A,12,pPGK1-mCherry-tTSA1_modB_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,1,mCh-7,10.31,-0.41000000000000014,1.3286858140965117
TRUE,255,E12,Sample 108,9.79,NA,0,NA,E12,9.79,E,12,pPGK1-mCherry-tTSA1_modB_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,2,mCh-7,10.31,-0.52000000000000135,1.4339552480158286
TRUE,255,I12,Sample 204,9.99,NA,0,NA,I12,9.99,I,12,pPGK1-mCherry-tTSA1_modB_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modB,tTSA1,modB,ExpRep2,FALSE,+RT,3,mCh-7,10.31,-0.3200000000000003,1.248330548901612
TRUE,255,A13,Sample 13,10.34,NA,0,NA,A13,10.34,A,13,pPGK1-mCherry-tTSA1_modC_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,1,mCh-7,10.76,-0.41999999999999993,1.337927554786112
TRUE,255,E13,Sample 109,9.78,NA,0,NA,E13,9.78,E,13,pPGK1-mCherry-tTSA1_modC_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,2,mCh-7,10.76,-0.9800000000000004,1.9724654089867188
TRUE,255,I13,Sample 205,9.86,NA,0,NA,I13,9.86,I,13,pPGK1-mCherry-tTSA1_modC_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,3,mCh-7,10.76,-0.9000000000000004,1.8660659830736153
TRUE,255,A14,Sample 14,9.71,NA,0,NA,A14,9.71,A,14,pPGK1-mCherry-tTSA1_modC_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,1,mCh-7,10.77,-1.0599999999999987,2.084931521682241
TRUE,255,E14,Sample 110,9.55,NA,0,NA,E14,9.55,E,14,pPGK1-mCherry-tTSA1_modC_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,2,mCh-7,10.77,-1.2199999999999989,2.32946717293691
TRUE,255,I14,Sample 206,10.18,NA,0,NA,I14,10.18,I,14,pPGK1-mCherry-tTSA1_modC_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,3,mCh-7,10.77,-0.5899999999999999,1.5052467474110671
TRUE,255,A15,Sample 15,9.98,NA,0,NA,A15,9.98,A,15,pPGK1-mCherry-tTSA1_modC_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,1,mCh-7,10.86,-0.879999999999999,1.8403753012497488
TRUE,255,E15,Sample 111,9.93,NA,0,NA,E15,9.93,E,15,pPGK1-mCherry-tTSA1_modC_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,2,mCh-7,10.86,-0.9299999999999997,1.9052759960878745
TRUE,255,I15,Sample 207,9.97,NA,0,NA,I15,9.97,I,15,pPGK1-mCherry-tTSA1_modC_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modC,tTSA1,modC,ExpRep1,FALSE,+RT,3,mCh-7,10.86,-0.8899999999999988,1.8531761237807403
TRUE,255,A13,Sample 13,9.63,NA,0,NA,A13,9.63,A,13,pPGK1-mCherry-tTSA1_modC_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modC,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modC,tTSA1,modC,ExpRep2,FALSE,+RT,1,mCh-7,9.94,-0.3099999999999987,1.2397076999389856
