Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,I10,Sample 202,14.75,NA,0,NA,I10,14.75,I,10,pRPS3-mCherry-tRPS3_modB_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,3,mCh-7,14.75,0,1
TRUE,255,A11,Sample 11,14.92,NA,0,NA,A11,14.92,A,11,pRPS3-mCherry-tRPS3_modB_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,1,mCh-7,14.65,0.2699999999999996,0.8293195458144419
TRUE,255,E11,Sample 107,14.97,NA,0,NA,E11,14.97,E,11,pRPS3-mCherry-tRPS3_modB_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,2,mCh-7,14.65,0.3200000000000003,0.8010698775896219
TRUE,255,I11,Sample 203,14.69,NA,0,NA,I11,14.69,I,11,pRPS3-mCherry-tRPS3_modB_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,3,mCh-7,14.65,0.03999999999999915,0.9726549474122861
TRUE,255,A12,Sample 12,15.16,NA,0,NA,A12,15.16,A,12,pRPS3-mCherry-tRPS3_modB_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,1,mCh-7,14.79,0.370000000000001,0.7737824967711944
TRUE,255,E12,Sample 108,14.88,NA,0,NA,E12,14.88,E,12,pRPS3-mCherry-tRPS3_modB_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,2,mCh-7,14.79,0.09000000000000163,0.9395227492140107
TRUE,255,I12,Sample 204,14.8,NA,0,NA,I12,14.8,I,12,pRPS3-mCherry-tRPS3_modB_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,3,mCh-7,14.79,0.010000000000001563,0.9930924954370348
TRUE,255,A13,Sample 13,10.48,NA,0,NA,A13,10.48,A,13,pRPS3-mCherry-tRPS3_modC_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modC,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modC,tRPS3,modC,ExpRep1,FALSE,+RT,1,mCh-7,10.89,-0.41000000000000014,1.3286858140965117
TRUE,255,E13,Sample 109,9.88,NA,0,NA,E13,9.88,E,13,pRPS3-mCherry-tRPS3_modC_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modC,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modC,tRPS3,modC,ExpRep1,FALSE,+RT,2,mCh-7,10.89,-1.0099999999999998,2.0139111001134373
TRUE,255,I13,Sample 205,9.68,NA,0,NA,I13,9.68,I,13,pRPS3-mCherry-tRPS3_modC_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modC,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modC,tRPS3,modC,ExpRep1,FALSE,+RT,3,mCh-7,10.89,-1.2100000000000009,2.313376367810576
